Name,Model,Transcription
NbAiLab-nb-whisper-large,Bergen_brygge_1m_to_road_0m_from_speaker,"Hei, hvordan har du det i dag? Jeg håper alt står bra til. I løpet av denne testen vil vi dekke flere temaer og evaluere og teste grundig. For det første, la oss snakke om været. Her kan det endre seg raskt........ for bærekraftig utvikling.... mye forskjellig. Til slutt, en interessant fakta fra landet. Det har to offisielle språk. Dette er et unikt aspekt ved kulturen og språket. Dette avslutter vår lille samtale. Takk for at du lyttet."
NbAiLab-nb-whisper-large,Bergen_brygge_1m_to_road_1m_from_speaker,"Hei, hvordan har du det i dag? Jeg håper alt står bra til. I løpet av denne testen vil vi dekke flere temaer og evaluere og teste grundig. For det første, la oss snakke om været. Her kan det endre seg raskt... Til slutt en interessant fakta fra landet. Det har to offisielle språk. Dette er et unikt aspekt ved kulturen og språket. Dette avslører vår nye samtale. Takk for at du uttrykte deg."
NbAiLab-nb-whisper-large,Bergen_brygge_1m_to_road_2m_from_speaker,"Hei, hvordan har du det i dag? Jeg håper alt står bra til. I løpet av denne testen vil vi dekke flere temaer og evaluere og teste grunner. For det første, la oss snakke om været. Her kan det endre seg raskt........"
NbAiLab-nb-whisper-large,Bergen_brygge_10m_to_road_0m_from_speaker,"Hei, hvordan har du det i dag? Jeg håper alt står bra til. I løpet av denne testen vil vi dekke flere temaer for å evaluere og teste grundig. For det første, la oss snakke om været. Her kan det være endre seg raskt. Fra strålende solskinn til plutselig regn. Det er alltid lurt å ha en paraply i hendene når det gjelder teknisk bråk. Her er det viktig å nevne at vi er ledende innen fornybar energi. Vannkraft står for omtrent av... omtrent alt av landets energiproduksjon. Dette viser landets engasjement for bærekraftig utvikling. En vanlig frase mange bruker når de møter noen, er 'hyggelig å møte deg'. Det er et uttrykk for høflighet og interesse i andres bekjentskap. 'Takk for sist' blir ofte brukt. Med sin tvetydige mening kan det bety mye forskjellig. Til slutt, en interessant fakta er at landene... Dette er unikt aspekt ved kulturen og språket. Dette avslutter vår lille samtale. Takk for at du lyttet."
NbAiLab-nb-whisper-large,Bergen_brygge_10m_to_road_1m_from_speaker,"Hei, hvordan har du det i dag? Jeg håper alt står bra til. I løpet av denne testen vil vi dekke flere temaer for å evaluere og teste kunder. For det første, la oss snakke om været. Her kan det endre seg raskt. Fra strålende solskinn til plutselig regn.... for å fly hender når det gjelder teknisk bråk. Her er det viktig å nevne at vi er ledende innen fornybar energi. Vannkraft står for overalt av landets energibroduksjon. Dette viser landets engasjement for bærekraftig utvikling..... Dette er unikt aspekt ved kulturen og språket. Dette avslutter vår lille samtale. Takk for at du lyttet."
NbAiLab-nb-whisper-large,Bergen_brygge_10m_to_road_2m_from_speaker,"Hei, hvordan har du det i dag? Jeg håper alt står bra til. I løpet av denne testen vil vi dekke flere temaer for å evaluere og teste lunder. For det første, la oss snakke om været. Her kan det være endre seg raskt. Fra strålende solskinn til plutselig regn. Det er alltid lurt å ha en teraply i hendene når det gjelder teknisk blåt. Her er det viktig å nevne at vi er ledende innen fornybar energi. Vannkraft står for håndtrent av... håndtrent alt av landets energiform. Dette viser landets engasjement for bærekraftig utvikling.... en vanlig flase mange bruker når de møter noen, er fryktelig å møte. Det er et uttrykk for populært på interesse i andres bekjentskap. Takk for sist, ble oppfølgt. Med sin tvetydige mening kan det bety mye for sjøl. Til slutt, en interessant fakta er at landet... Dette er unikt anspekt ved kulturen og språket. Dette avslutter vår lille samtale. Takk for at du lyttet!"
NbAiLab-nb-whisper-large-verbatim,Bergen_brygge_1m_to_road_0m_from_speaker,hei hvordan har du det i dag jeg håper alt står bra til i løpet av denne testen vil vi dekke flere temaer og evaluere og teste grundig for det første la oss snakke om været her kan det endre seg raskt fra stråle det er alltid lurt å ha en paraply hendig når det gjelder teknisk språk her er det viktig å nevne at vi er ledende innen fornybar energi vannkraft står omtrent alt av landets elektrisitetsproduksjon dette viser landets engasjement for bærekraftig utvikling en vanlig frase mange bruker når de møter noen er hyggelig å møte deg det er et uttrykk for tilflukt og interesse i de andres bekjentskap takk for sist blir ofte brukt med sin tvetydige mening kan det bety mye forskjellig til slutt en interessant fakta fra landet det har to offisielle språk dette er et unikt aspekt ved kulturen og språket dette avslar avslutter vår lille samtale takk for at du lyttet
NbAiLab-nb-whisper-large-verbatim,Bergen_brygge_1m_to_road_1m_from_speaker,hei hvordan har du det i dag jeg håper alt står bra til i løpet av denne testen vil vi dekke flere temaer og evaluere og teste grundig for det første la oss snakke om været her kan det endre seg raskt fra strålende solskinn til det er alltid lurt å ha en paraply hendig når det gjelder teknisk språk er det viktig å nevne at vi er ledende innen fornybar energi noen kraft står omtrent alt av landets elektrisitetsprosjekt dette viser landets engasjement for takk for sist som blir åpnet med sin tvetydige mening kan det bety mye forskjellig til slutt en interessant fakta fra landet det har to offisielle språk dette er et unikt aspekt ved kulturen og språket dette avslører avslutter vår nye samtale takk for at du viste
NbAiLab-nb-whisper-large-verbatim,Bergen_brygge_1m_to_road_2m_from_speaker,hei hvordan har du det i dag jeg håper alt står bra til i løpet av denne testen vil vi dekke flere temaer og evaluere og teste grunner for det første la oss snakke om været her kan ver endre seg raskt og det er alltid lurt å ha en paraply i hendene når det gjelder teknisk språk her er det viktig å nevne at vi er bedne innenfor fornybar energi om kraft står omtrent alt foran landets elektriske hetsporisjon dette viser landets pekefølge og takk for sist med sin tretidige mening mye forskjellig til slutt en interessant fakta fra landet det var to offisielle språk dette er et unikt aspekt ved contribute og spoken dette avslår avslutter vår nye samtale takk og gratulerer
NbAiLab-nb-whisper-large-verbatim,Bergen_brygge_10m_to_road_0m_from_speaker,hei hvordan har du det i dag jeg håper alt står bra til i løpet av denne testen vil vi dekke flere temaer for å evaluere og teste grundig for det første la oss snakke om været her kan det være endre seg raskt fra strålende solskinn til plutselig regn det er det er alltid lurt å ha en paraply i hendene når det gjelder teknisk bråk her er det viktig å nevne at vi er ledende innen fornybar energi vannkraft står for omtrent av omtrent alt av landets energiproduksjon dette viser landets engasjement for bærekraftig utvikling en vanlig frase mange bruker når de møter noen er hyggelig å møte deg det er et uttrykk for høflighet og interesse i andres bekjentskap takk for sist blir ofte brukt med sin tvetydige mening kan det bety mye forskjellig til slutt en interessant fakta er at landene har to offisielle skriftspråk dette er unikt aspekt ved kulturen og språket dette avslutter vår lille samtale takk for at du lyttet
NbAiLab-nb-whisper-large-verbatim,Bergen_brygge_10m_to_road_1m_from_speaker,hei hvordan har du det i dag jeg håper alt står bra til i løpet av denne testen vil vi dekke flere temaer for å evaluere og teste kunder for det første la oss snakke om været her kan det være endres raskt fra strålende solskinn til plutselig regning det er alltid lurt å ha her er det viktig å nevne at vi er ledende innen fornybar energi vannkraft står for opptrend av under alt av landets energiboposisjon dette viser landets engasjement for bærekraftig utvikling en vanlig plan som mange bruker når de møter noen er hyggelig å møte dem det er et uttrykk for fortrolighet og interesse i andres bekjentskap takk for sist blir opptatt med sin tvetydige mening kan det bety mye forskjellig til slutt en interessant fakta er at landet har to offisielle dette er unikt aspekt ved kulturen og språket dette avslutter vår lille samtale takk for at du lyttet
NbAiLab-nb-whisper-large-verbatim,Bergen_brygge_10m_to_road_2m_from_speaker,hei hvordan har du det i dag jeg håper alt står bra til i løpet av denne testen vil vi dekke flere temaer for å evaluere og teste lunder for det første la oss snakke om været her kan det være endre seg raskt fra strålende solskinn til til plutselig regn det er alltid lurt å ha en teraply i hendene når det gjelder teknisk flåte her er det viktig å nevne at vi er ledende innen fornybar energi vannkraft står for håndtrent av håndtrent alt av landets energiform dette viser landets engasjement for bærekraftig utvikling en vanlig plass mange bruker når de møter noen er fyktig å møte det er et uttrykk for populærhet og interesse i andres bekjentskap takk for sist ble oppfølgt med sin tvetydige mening kan det bety mye for kjønnet til slutt en interessant fakta er at landet dette er unikt ansvar ved kulturen og språket dette avslutter vår lille samtale takk for at du lytta
openai-whisper-large-v3,Bergen_brygge_1m_to_road_0m_from_speaker,"Hei, hvordan har du det i dag? Jeg håper alt står bra til. I løpet av denne testen vil vi dekke flere temaer og evaluere og teste grundig. For det første, la oss snakke om været. Her kan det endre seg raskt........ for bærekraftig utvikling.... mye forskjellig. Til slutt, en interessant fakta fra landet. Det har to offisielle språk. Dette er et unikt aspekt ved kulturen og språket. Dette avslutter vår lille samtale. Takk for at du lyttet."
openai-whisper-large-v3,Bergen_brygge_1m_to_road_1m_from_speaker,"Hei, hvordan har du det i dag? Jeg håper alt står bra til. I løpet av denne testen vil vi dekke flere temaer og evaluere og teste grundig. For det første, la oss snakke om været. Her kan det endre seg raskt... Til slutt en interessant fakta fra landet. Det har to offisielle språk. Dette er et unikt aspekt ved kulturen og språket. Dette avslører vår nye samtale. Takk for at du uttrykte deg."
openai-whisper-large-v3,Bergen_brygge_1m_to_road_2m_from_speaker,"Hei, hvordan har du det i dag? Jeg håper alt står bra til. I løpet av denne testen vil vi dekke flere temaer og evaluere og teste grunner. For det første, la oss snakke om været. Her kan det endre seg raskt........"
openai-whisper-large-v3,Bergen_brygge_10m_to_road_0m_from_speaker,"Hei, hvordan har du det i dag? Jeg håper alt står bra til. I løpet av denne testen vil vi dekke flere temaer for å evaluere og teste grundig. For det første, la oss snakke om været. Her kan det være endre seg raskt. Fra strålende solskinn til plutselig regn. Det er alltid lurt å ha en paraply i hendene når det gjelder teknisk bråk. Her er det viktig å nevne at vi er ledende innen fornybar energi. Vannkraft står for omtrent av... omtrent alt av landets energiproduksjon. Dette viser landets engasjement for bærekraftig utvikling. En vanlig frase mange bruker når de møter noen, er 'hyggelig å møte deg'. Det er et uttrykk for høflighet og interesse i andres bekjentskap. 'Takk for sist' blir ofte brukt. Med sin tvetydige mening kan det bety mye forskjellig. Til slutt, en interessant fakta er at landene... Dette er unikt aspekt ved kulturen og språket. Dette avslutter vår lille samtale. Takk for at du lyttet."
openai-whisper-large-v3,Bergen_brygge_10m_to_road_1m_from_speaker,"Hei, hvordan har du det i dag? Jeg håper alt står bra til. I løpet av denne testen vil vi dekke flere temaer for å evaluere og teste kunder. For det første, la oss snakke om været. Her kan det endre seg raskt. Fra strålende solskinn til plutselig regn.... for å fly hender når det gjelder teknisk bråk. Her er det viktig å nevne at vi er ledende innen fornybar energi. Vannkraft står for overalt av landets energibroduksjon. Dette viser landets engasjement for bærekraftig utvikling..... Dette er unikt aspekt ved kulturen og språket. Dette avslutter vår lille samtale. Takk for at du lyttet."
openai-whisper-large-v3,Bergen_brygge_10m_to_road_2m_from_speaker,"Det er alltid lurt å ha en teraply i hendene når det gjelder teknisk blåt. Her er det viktig å nevne at vi er ledende innen fornybar energi. Vannkraft står for håndtrent av... håndtrent alt av landets energiform. Dette viser landets engasjement for bærekraftig utvikling.... en vanlig flase mange bruker når de møter noen, er fryktelig å møte. Det er et uttrykk for populært på interesse i andres bekjentskap. Takk for sist, ble oppfølgt. Med sin tvetydige mening kan det bety mye for sjøl. Til slutt, en interessant fakta er at landet... Dette er unikt anspekt ved kulturen og språket. Dette avslutter vår lille samtale. Takk for at du lyttet!"
